Customer Reference ID,Deposits,Other First Deposits,Total First Deposits,Total First Deposit Count
128016,15.00,0,15.00,1
129922,0.00,0,0.00,N/A
137545,131.00,0,22.00,1
144166,0.00,0,0.00,N/A
146225,10.00,0,10.00,1
146868,29.00,0,29.00,1
326671,6.00,0,6.00,1
326688,0.00,0,0.00,N/A
326883,0.00,0,0.00,N/A
327004,0.00,0,0.00,N/A
327031,165.00,0,30.00,1
327117,0.00,0,0.00,N/A
327133,3151.00,0,191.00,1
327136,1569.00,0,268.00,1
327328,708.00,0,30.00,1
327447,1091.00,0,59.00,1
327498,88.00,0,88.00,1
327602,0.00,0,0.00,N/A
327613,356.00,0,178.00,1
327641,268.00,0,268.00,1
327651,45.00,0,45.00,1
327694,179.00,0,179.00,1
327705,30.00,0,30.00,1
327718,337.00,0,83.00,1
327763,45.00,0,45.00,1
327846,30.00,0,30.00,1
327860,15.00,0,15.00,1
327867,15.00,0,15.00,1
327912,59.00,0,30.00,1
328023,15.00,0,15.00,1
328032,194.00,0,47.00,1
328112,53.00,0,53.00,1
328134,59.00,0,29.00,1
328138,29.00,0,29.00,1
328177,15.00,0,15.00,1
328309,120.00,0,18.00,1
328462,88.00,0,88.00,1
328527,88.00,0,88.00,1
328548,29.00,0,29.00,1
328571,293.00,0,234.00,1
Totals:,9322.00,0,2310.00,33
,,,,
,,,,
