Customer Reference ID,Deposits,Other First Deposits,Total First Deposits,Total First Deposit Count
129922,44.00,0,15.00,1
131979,443.00,0,177.00,1
132952,15.00,0,15.00,1
137545,211.00,0,30.00,1
141746,89.00,0,89.00,1
144166,44.00,0,15.00,1
144169,0.00,0,0.00,N/A
326671,44.00,0,44.00,1
326674,15.00,0,15.00,1
326688,194.00,0,135.00,1
326782,8.00,0,8.00,1
326883,176.00,0,59.00,1
326909,618.00,0,236.00,1
326911,15.00,0,15.00,1
326917,29.00,0,29.00,1
326953,265.00,0,265.00,1
326996,1825.00,0,1825.00,1
327003,29.00,0,29.00,1
327004,59.00,0,44.00,1
327031,206.00,0,15.00,1
327117,29.00,0,29.00,1
327133,2205.00,0,147.00,1
327136,734.00,0,294.00,1
327165,88.00,0,44.00,1
327232,15.00,0,15.00,1
327297,29.00,0,29.00,1
327309,531.00,0,265.00,1
327328,505.00,0,45.00,1
327337,15.00,0,15.00,1
327371,15.00,0,15.00,1
327447,148.00,0,148.00,1
327449,15.00,0,15.00,1
327476,59.00,0,59.00,1
327485,1782.00,0,1782.00,1
327498,15.00,0,15.00,1
327513,60.00,0,60.00,1
327551,24.00,0,24.00,1
327562,54.00,0,54.00,1
327602,179.00,0,179.00,1
327604,15.00,0,15.00,1
327613,466.00,0,346.00,1
327641,537.00,0,537.00,1
Totals:,11848.00,0,7188.00,41
