Customer Reference ID,Country,Signup Date,Reward Plan,Marketing Source Name,URL,Expiry Date,Customer Type,Total Net Revenue,Total Net Revenue MTD,Details
132514,Germany,02/07/2017,5% RevShare,CasDE,abc.com,0,Generic,31.00,0,List Activity
132901,Germany,05/07/2017,5% RevShare,CasDE,abc.com,0,Generic,127.00,0,List Activity
137545,Austria,28/08/2017,5% RevShare,CasAT,abc.com,0,Generic,31.00,0,List Activity
140316,Germany,27/09/2017,5% RevShare,CasDE,abc.com,0,Generic,591.00,0,List Activity
144166,Germany,03/11/2017,5% RevShare,CasDE,abc.com,0,Generic,10.00,0,List Activity
144169,Germany,04/11/2017,5% RevShare,CasDE,abc.com,0,Generic,2.00,0,List Activity
145030,Germany,13/11/2017,5% RevShare,CasDE,abc.com,0,Generic,8.00,0,List Activity
146225,Germany,30/11/2017,5% RevShare,CasDE,abc.com,0,Generic,36.00,0,List Activity
146330,Germany,02/12/2017,5% RevShare,CasDE,abc.com,0,Generic,116.00,0,List Activity
146868,Germany,08/12/2017,5% RevShare,CasDE,abc.com,0,Generic,31.00,0,List Activity
327133,Germany,14/03/2018,5% RevShare,CasDE,abc.com,0,Generic,401.00,0,List Activity
327912,Germany,09/04/2018,5% RevShare,CasDE,abc.com,0,Generic,10.00,0,List Activity
328730,Germany,02/05/2018,5% RevShare,CasDE,abc.com,0,Generic,-2.00,0,List Activity
328823,Germany,04/05/2018,5% RevShare,CasDE,abc.com,0,Generic,-477.00,0,List Activity
328851,Germany,05/05/2018,5% RevShare,CasDE,abc.com,0,Generic,0.00,0,List Activity
328887,Germany,05/05/2018,5% RevShare,CasDE,abc.com,0,Generic,-98.00,0,List Activity
328949,Germany,06/05/2018,5% RevShare,CasDE,abc.com,0,Generic,0.00,0,List Activity
329003,Germany,08/05/2018,5% RevShare,CasDE,abc.com,0,Generic,0.00,0,List Activity
329065,Germany,09/05/2018,5% RevShare,CasDE,abc.com,0,Generic,0.00,0,List Activity
329184,Germany,12/05/2018,5% RevShare,CasDE,abc.com,0,Generic,0.00,0,List Activity
329465,Germany,20/05/2018,5% RevShare,CasDE,abc.com,0,Generic,21.00,0,List Activity
329479,Germany,20/05/2018,5% RevShare,CasDE,abc.com,0,Generic,4.00,0,List Activity
329546,Germany,23/05/2018,5% RevShare,CasDE,abc.com,0,Generic,42.00,0,List Activity
329679,Germany,29/05/2018,5% RevShare,CasDE,abc.com,0,Generic,42.00,0,List Activity
329747,Germany,31/05/2018,5% RevShare,CasDE,abc.com,0,Generic,12.00,0,List Activity
329752,Germany,31/05/2018,5% RevShare,CasDE,abc.com,0,Generic,1290.00,0,List Activity
329837,Germany,03/06/2018,5% RevShare,CasDE,abc.com,0,Generic,42.00,0,List Activity
329849,Germany,04/06/2018,5% RevShare,CasDE,abc.com,0,Generic,10.00,0,List Activity
329922,Germany,06/06/2018,5% RevShare,CasDE,abc.com,0,Generic,55.00,0,List Activity
329931,Germany,07/06/2018,5% RevShare,CasDE,abc.com,0,Generic,56.00,0,List Activity
329942,Germany,07/06/2018,5% RevShare,CasDE,abc.com,0,Generic,61.00,0,List Activity
329978,Germany,08/06/2018,5% RevShare,CasDE,abc.com,0,Generic,37.00,0,List Activity
329986,Germany,09/06/2018,5% RevShare,CasDE,abc.com,0,Generic,89.00,0,List Activity
329999,Germany,09/06/2018,5% RevShare,CasDE,abc.com,0,Generic,21.00,0,List Activity
330009,Germany,10/06/2018,5% RevShare,CasDE,abc.com,0,Generic,1374.00,0,List Activity
330037,Germany,10/06/2018,5% RevShare,CasDE,abc.com,0,Generic,-24.00,0,List Activity
330054,Germany,11/06/2018,5% RevShare,CasDE,abc.com,0,Generic,10.00,0,List Activity
330056,Germany,11/06/2018,5% RevShare,CasDE,abc.com,0,Generic,74.00,0,List Activity
330069,Germany,11/06/2018,5% RevShare,CasDE,abc.com,0,Generic,445.00,0,List Activity
330106,Germany,12/06/2018,5% RevShare,CasDE,abc.com,0,Generic,15.00,0,List Activity
330121,Germany,13/06/2018,5% RevShare,CasDE,abc.com,0,Generic,2.00,0,List Activity
330152,Germany,13/06/2018,5% RevShare,CasDE,abc.com,0,Generic,10.00,0,List Activity
330187,Germany,14/06/2018,5% RevShare,CasDE,abc.com,0,Generic,42.00,0,List Activity
330191,Germany,43265,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330192,Germany,43265,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330194,Germany,43265,5% RevShare,CasDE,abc.com,0,Generic,81,0,List Activity
330198,Germany,43265,5% RevShare,CasDE,abc.com,0,Generic,95,0,List Activity
330224,Germany,43266,5% RevShare,CasDE,abc.com,0,Generic,16,0,List Activity
330253,Germany,43267,5% RevShare,CasDE,abc.com,0,Generic,126,0,List Activity
330302,Germany,43269,5% RevShare,CasDE,abc.com,0,Generic,27,0,List Activity
330305,Germany,43269,5% RevShare,CasDE,abc.com,0,Generic,74,0,List Activity
330329,Germany,43270,5% RevShare,CasDE,abc.com,0,Generic,105,0,List Activity
330334,Germany,43270,5% RevShare,CasDE,abc.com,0,Generic,433,0,List Activity
330336,Germany,43270,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330356,Germany,43272,5% RevShare,CasDE,abc.com,0,Generic,32,0,List Activity
330361,Germany,43272,5% RevShare,CasDE,abc.com,0,Generic,2005,0,List Activity
330365,Germany,43272,5% RevShare,CasDE,abc.com,0,Generic,683,0,List Activity
330366,Germany,43272,5% RevShare,CasDE,abc.com,0,Generic,-40,0,List Activity
330368,Germany,43272,5% RevShare,CasDE,abc.com,0,Generic,579,0,List Activity
330376,Germany,43273,5% RevShare,CasDE,abc.com,0,Generic,-568,0,List Activity
330377,Germany,43273,5% RevShare,CasDE,abc.com,0,Generic,11,0,List Activity
330380,Germany,43273,5% RevShare,CasDE,abc.com,0,Generic,63,0,List Activity
330388,Germany,43273,5% RevShare,CasDE,abc.com,0,Generic,1277,0,List Activity
330394,Germany,43273,5% RevShare,CasDE,abc.com,0,Generic,21,0,List Activity
330398,Germany,43274,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330404,Germany,43274,5% RevShare,CasDE,abc.com,0,Generic,113,0,List Activity
330418,Germany,43274,5% RevShare,CasDE,abc.com,0,Generic,187,0,List Activity
330419,Germany,43274,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330433,Germany,43275,5% RevShare,CasDE,abc.com,0,Generic,42,0,List Activity
330434,Germany,43275,5% RevShare,CasDE,abc.com,0,Generic,21,0,List Activity
330440,Germany,43275,5% RevShare,CasDE,abc.com,0,Generic,107,0,List Activity
330443,Germany,43275,5% RevShare,CasDE,abc.com,0,Generic,-96,0,List Activity
330459,Germany,43276,5% RevShare,CasDE,abc.com,0,Generic,512,0,List Activity
330461,Germany,43276,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330471,Germany,43276,5% RevShare,CasDE,abc.com,0,Generic,833,0,List Activity
330479,Germany,43277,5% RevShare,CasDE,abc.com,0,Generic,42,0,List Activity
330487,Germany,43277,5% RevShare,CasDE,abc.com,0,Generic,41,0,List Activity
330492,Germany,43277,5% RevShare,CasDE,abc.com,0,Generic,-178,0,List Activity
330496,Germany,43277,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330499,Germany,43277,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330504,Germany,43278,5% RevShare,CasDE,abc.com,0,Generic,21,0,List Activity
330506,Germany,43278,5% RevShare,CasDE,abc.com,0,Generic,12,0,List Activity
330514,Germany,43278,5% RevShare,CasDE,abc.com,0,Generic,42,0,List Activity
330516,Germany,43278,5% RevShare,CasDE,abc.com,0,Generic,23,0,List Activity
330521,Germany,43278,5% RevShare,CasDE,abc.com,0,Generic,1279,0,List Activity
330532,Germany,43279,5% RevShare,CasDE,abc.com,0,Generic,4,0,List Activity
330536,Germany,43279,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330538,Germany,43279,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330539,Germany,43279,5% RevShare,CasDE,abc.com,0,Generic,31,0,List Activity
330544,Germany,43279,5% RevShare,CasDE,abc.com,0,Generic,63,0,List Activity
330554,Germany,43279,5% RevShare,CasDE,abc.com,0,Generic,20,0,List Activity
330555,Germany,43279,5% RevShare,CasDE,abc.com,0,Generic,31,0,List Activity
330558,Germany,43279,5% RevShare,CasDE,abc.com,0,Generic,11,0,List Activity
330559,Germany,43279,5% RevShare,CasDE,abc.com,0,Generic,170,0,List Activity
330562,Germany,43279,5% RevShare,CasDE,abc.com,0,Generic,31,0,List Activity
330572,Germany,43280,5% RevShare,CasDE,abc.com,0,Generic,80,0,List Activity
330575,Germany,43280,5% RevShare,CasDE,abc.com,0,Generic,42,0,List Activity
330579,Germany,43280,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330583,Germany,43280,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330584,Germany,43280,5% RevShare,CasDE,abc.com,0,Generic,95,0,List Activity
330586,Germany,43280,5% RevShare,CasDE,abc.com,0,Generic,21,0,List Activity
330589,Germany,43280,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330591,Germany,43280,5% RevShare,CasDE,abc.com,0,Generic,10,0,List Activity
330596,Germany,43280,5% RevShare,CasDE,abc.com,0,Generic,21,0,List Activity
